"MapManBin"	"GO.Term"	"GO.Name"	"GO.Ontolgy"	"GO.depth"	"Bin.Description"
"10.1.1.1.1"	"GO:0003824"	"catalytic activity"	"MF"	2	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0006527"	"arginine catabolic process"	"BP"	27	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0008295"	"spermidine biosynthetic process"	"BP"	23	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0008792"	"arginine decarboxylase activity"	"MF"	6	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0009446"	"putrescine biosynthetic process"	"BP"	23	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0016829"	"lyase activity"	"MF"	3	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.1"	"GO:0016831"	"carboxy-lyase activity"	"MF"	5	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.arginine decarboxylase"
"10.1.1.1.2"	"GO:0004668"	"protein-arginine deiminase activity"	"MF"	6	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.2"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.2"	"GO:0009446"	"putrescine biosynthetic process"	"BP"	23	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.2"	"GO:0016787"	"hydrolase activity"	"MF"	3	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.2"	"GO:0033388"	"putrescine biosynthetic process from arginine"	"BP"	33	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.2"	"GO:0047632"	"agmatine deiminase activity"	"MF"	6	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.agmatine iminohydrolase"
"10.1.1.1.3"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.N-carbamoylputrescine amidohydrolase"
"10.1.1.1.3"	"GO:0006807"	"nitrogen compound metabolic process"	"BP"	3	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.N-carbamoylputrescine amidohydrolase"
"10.1.1.1.3"	"GO:0016787"	"hydrolase activity"	"MF"	3	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.N-carbamoylputrescine amidohydrolase"
"10.1.1.1.3"	"GO:0033388"	"putrescine biosynthetic process from arginine"	"BP"	33	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.N-carbamoylputrescine amidohydrolase"
"10.1.1.1.3"	"GO:0050126"	"N-carbamoylputrescine amidase activity"	"MF"	6	"Polyamine metabolism.putrescine.synthesis.plastidial/nuclear pathway.N-carbamoylputrescine amidohydrolase"
"10.1.1.2.1"	"GO:0003824"	"catalytic activity"	"MF"	2	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0004586"	"ornithine decarboxylase activity"	"MF"	6	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0005737"	"cytoplasm"	"CC"	6	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0006596"	"polyamine biosynthetic process"	"BP"	20	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0016829"	"lyase activity"	"MF"	3	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0016831"	"carboxy-lyase activity"	"MF"	5	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
"10.1.1.2.1"	"GO:0033387"	"putrescine biosynthetic process from ornithine"	"BP"	32	"Polyamine metabolism.putrescine.synthesis.cytosolic pathway.ornithine decarboxylase"
