BINCODE	GO.TERM
10.1.1.1.1	GO:0003674
10.1.1.1.1	GO:0003824
10.1.1.1.1	GO:0006082
10.1.1.1.1	GO:0006520
10.1.1.1.1	GO:0006525
10.1.1.1.1	GO:0006527
10.1.1.1.1	GO:0006576
10.1.1.1.1	GO:0006595
10.1.1.1.1	GO:0006596
10.1.1.1.1	GO:0006807
10.1.1.1.1	GO:0008150
10.1.1.1.1	GO:0008152
10.1.1.1.1	GO:0008216
10.1.1.1.1	GO:0008295
10.1.1.1.1	GO:0008792
10.1.1.1.1	GO:0009056
10.1.1.1.1	GO:0009058
10.1.1.1.1	GO:0009063
10.1.1.1.1	GO:0009064
10.1.1.1.1	GO:0009065
10.1.1.1.1	GO:0009308
10.1.1.1.1	GO:0009309
10.1.1.1.1	GO:0009445
10.1.1.1.1	GO:0009446
10.1.1.1.1	GO:0009987
10.1.1.1.1	GO:0016054
10.1.1.1.1	GO:0016829
10.1.1.1.1	GO:0016830
10.1.1.1.1	GO:0016831
10.1.1.1.1	GO:0019752
10.1.1.1.1	GO:0034641
10.1.1.1.1	GO:0042401
10.1.1.1.1	GO:0043436
10.1.1.1.1	GO:0044106
10.1.1.1.1	GO:0044237
10.1.1.1.1	GO:0044238
10.1.1.1.1	GO:0044248
10.1.1.1.1	GO:0044249
10.1.1.1.1	GO:0044271
10.1.1.1.1	GO:0044281
10.1.1.1.1	GO:0044282
10.1.1.1.1	GO:0046395
10.1.1.1.1	GO:0071704
10.1.1.1.1	GO:0097164
10.1.1.1.1	GO:1901564
10.1.1.1.1	GO:1901565
10.1.1.1.1	GO:1901566
10.1.1.1.1	GO:1901575
10.1.1.1.1	GO:1901576
10.1.1.1.1	GO:1901605
10.1.1.1.1	GO:1901606
10.1.1.1.2	GO:0003674
10.1.1.1.2	GO:0003824
10.1.1.1.2	GO:0004668
10.1.1.1.2	GO:0006082
10.1.1.1.2	GO:0006520
10.1.1.1.2	GO:0006525
10.1.1.1.2	GO:0006576
10.1.1.1.2	GO:0006595
10.1.1.1.2	GO:0006596
10.1.1.1.2	GO:0006807
10.1.1.1.2	GO:0008150
10.1.1.1.2	GO:0008152
10.1.1.1.2	GO:0009058
10.1.1.1.2	GO:0009064
10.1.1.1.2	GO:0009308
10.1.1.1.2	GO:0009309
10.1.1.1.2	GO:0009445
10.1.1.1.2	GO:0009446
10.1.1.1.2	GO:0009987
10.1.1.1.2	GO:0016787
10.1.1.1.2	GO:0016810
10.1.1.1.2	GO:0016813
10.1.1.1.2	GO:0019752
10.1.1.1.2	GO:0033388
10.1.1.1.2	GO:0034641
10.1.1.1.2	GO:0042401
10.1.1.1.2	GO:0043436
10.1.1.1.2	GO:0044106
10.1.1.1.2	GO:0044237
10.1.1.1.2	GO:0044238
10.1.1.1.2	GO:0044249
10.1.1.1.2	GO:0044271
10.1.1.1.2	GO:0044281
10.1.1.1.2	GO:0047632
10.1.1.1.2	GO:0071704
10.1.1.1.2	GO:0097164
10.1.1.1.2	GO:1901564
10.1.1.1.2	GO:1901566
10.1.1.1.2	GO:1901576
10.1.1.1.2	GO:1901605
10.1.1.1.3	GO:0003674
10.1.1.1.3	GO:0003824
10.1.1.1.3	GO:0006082
10.1.1.1.3	GO:0006520
10.1.1.1.3	GO:0006525
10.1.1.1.3	GO:0006576
10.1.1.1.3	GO:0006595
10.1.1.1.3	GO:0006596
10.1.1.1.3	GO:0006807
10.1.1.1.3	GO:0008150
10.1.1.1.3	GO:0008152
10.1.1.1.3	GO:0009058
10.1.1.1.3	GO:0009064
10.1.1.1.3	GO:0009308
10.1.1.1.3	GO:0009309
10.1.1.1.3	GO:0009445
10.1.1.1.3	GO:0009446
10.1.1.1.3	GO:0009987
10.1.1.1.3	GO:0016787
10.1.1.1.3	GO:0016810
10.1.1.1.3	GO:0016811
10.1.1.1.3	GO:0019752
10.1.1.1.3	GO:0033388
10.1.1.1.3	GO:0034641
10.1.1.1.3	GO:0042401
10.1.1.1.3	GO:0043436
10.1.1.1.3	GO:0044106
